soc_code,title,COMM,RESP,PROB,GROW,STRE,ADAP
11-9199.09,Wind Energy Operations Managers,3.44,4.19,3.27,2.7,3.93,3.13
11-9199.10,Wind Energy Development Managers,3.35,4.19,3.35,2.76,3.92,3.03
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3.52,4.4,3.16,2.65,3.71,3.23
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3.22,4.39,2.94,2.5,4.27,2.88
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.35,4.16,3.05,2.84,3.94,3.15
13-1031.00,"Claims Adjusters, Examiners, and Investigators",3.43,4.55,3.36,2.55,4.52,2.93
13-1032.00,"Insurance Appraisers, Auto Damage",3.05,4.08,2.9,2.05,3.92,2.69
13-1041.03,Equal Opportunity Representatives and Officers,3.43,4.45,3.47,3.01,4.39,3.21
13-1041.04,Government Property Inspectors and Investigators,3.44,4.35,3.41,2.79,4.31,2.99
13-1071.00,Human Resources Specialists,3.51,4.38,3.11,2.75,4.48,3.04
13-1074.00,Farm Labor Contractors,3.04,3.99,2.52,1.96,3.52,2.53
13-1121.00,"Meeting, Convention, and Event Planners",3.69,4.6,3.22,2.51,4.71,3.42
13-1199.06,Online Merchants,3.02,4.27,2.87,2.32,3.62,2.91
13-2031.00,Budget Analysts,3.04,4.51,3.22,2.46,4.05,2.65
13-2072.00,Loan Officers,3.3,4.24,3.14,2.49,3.92,2.84
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3.31,4.38,3.17,2.74,4.37,2.71
15-1211.00,Computer Systems Analysts,3.16,3.8,3.36,2.94,3.24,2.66
15-1212.00,Information Security Analysts,3.2,4.41,3.4,2.78,3.98,2.64
15-1221.00,Computer and Information Research Scientists,3.26,3.84,3.61,3.12,3.31,2.74
15-1231.00,Computer Network Support Specialists,3.08,4.36,3.15,2.65,4.24,2.56
15-1232.00,Computer User Support Specialists,3.33,4.5,3.07,2.7,4.27,2.73
15-1242.00,Database Administrators,3.14,4.07,3.4,2.94,3.68,2.64
15-1244.00,Network and Computer Systems Administrators,3.16,4.39,3.33,2.78,3.94,2.76
15-1251.00,Computer Programmers,3.12,4.58,3.25,2.42,4.01,2.6
15-1252.00,Software Developers,3.04,4.15,3.21,2.73,3.69,2.73
15-2099.01,Bioinformatics Technicians,2.99,3.92,3.12,2.77,3.33,2.56
17-1021.00,Cartographers and Photogrammetrists,2.87,4.07,2.98,2.67,3.17,2.5
17-2011.00,Aerospace Engineers,3.27,4.2,3.57,3.11,3.64,2.79
17-2071.00,Electrical Engineers,3.33,4.22,3.48,2.95,3.77,2.7
17-2072.00,"Electronics Engineers, Except Computer",3.18,4.31,3.48,2.78,3.5,2.73
17-2072.01,Radio Frequency Identification Device Specialists,3.2,4.25,3.27,2.64,4.04,2.82
17-2112.00,Industrial Engineers,3.3,4.4,3.45,2.73,4.19,2.66
17-2141.00,Mechanical Engineers,3.19,4.25,3.52,2.96,4.17,2.69
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.4,4.18,3.65,2.99,3.78,2.72
17-2171.00,Petroleum Engineers,3.39,4.22,3.45,2.92,3.8,2.9
17-2199.05,Mechatronics Engineers,3.06,4.11,3.44,2.83,3.75,2.65
17-2199.06,Microsystems Engineers,3.17,4.21,3.47,2.98,3.64,2.77
17-2199.10,Wind Energy Engineers,3.09,4.39,3.3,2.62,4.1,2.82
17-3012.00,Electrical and Electronics Drafters,2.97,3.97,2.92,2.49,3.58,2.58
17-3013.00,Mechanical Drafters,3.0,4.22,2.79,2.69,3.9,2.44
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,2.99,4.51,3.29,2.52,3.9,2.66
17-3022.00,Civil Engineering Technologists and Technicians,3.2,4.41,3.12,2.29,4.0,2.56
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,2.86,4.42,3.12,2.62,3.87,2.3
17-3025.00,Environmental Engineering Technologists and Technicians,3.16,4.05,3.27,2.92,3.64,2.68
17-3026.00,Industrial Engineering Technologists and Technicians,3.13,4.17,3.37,2.62,4.07,2.67
17-3027.00,Mechanical Engineering Technologists and Technicians,3.08,4.01,3.25,2.58,3.51,2.71
19-1023.00,Zoologists and Wildlife Biologists,3.37,4.29,3.39,2.88,3.85,2.92
19-1029.01,Bioinformatics Scientists,3.31,4.5,3.63,3.06,3.26,2.92
19-1029.04,Biologists,3.29,4.42,3.6,3.27,3.74,2.68
19-1031.02,Range Managers,3.32,4.15,3.34,2.68,3.85,2.85
19-1031.03,Park Naturalists,3.47,3.97,2.94,2.81,4.23,3.02
19-1032.00,Foresters,3.39,4.08,3.36,2.71,3.69,2.9
19-1042.00,"Medical Scientists, Except Epidemiologists",3.4,4.18,3.74,3.46,3.87,2.79
19-2012.00,Physicists,3.27,4.1,3.86,3.84,3.26,2.81
19-2031.00,Chemists,3.21,4.28,3.54,2.95,3.91,2.45
19-2041.00,"Environmental Scientists and Specialists, Including Health",3.43,4.24,3.56,3.11,3.85,2.86
19-3034.00,School Psychologists,3.8,4.72,3.48,3.17,4.64,3.52
19-3093.00,Historians,3.3,4.04,3.18,3.17,3.23,2.51
19-4012.00,Agricultural Technicians,2.87,4.09,2.87,2.59,3.38,2.54
19-4013.00,Food Science Technicians,2.95,4.17,2.89,2.56,3.68,2.3
19-4021.00,Biological Technicians,3.05,4.37,3.21,2.78,3.96,2.29
19-4031.00,Chemical Technicians,2.96,4.14,3.2,2.79,3.38,2.52
19-4051.02,Nuclear Monitoring Technicians,3.03,4.21,3.3,2.67,3.83,2.65
19-4061.00,Social Science Research Assistants,3.19,4.53,2.97,2.73,4.08,2.54
19-4071.00,Forest and Conservation Technicians,3.16,4.22,3.0,2.57,3.81,2.84
19-4092.00,Forensic Science Technicians,3.14,4.3,3.37,2.87,3.58,2.76
19-4099.01,Quality Control Analysts,2.97,4.42,3.01,2.54,3.96,2.63
19-4099.03,Remote Sensing Technicians,3.03,4.15,3.14,2.6,3.59,2.53
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,3.77,4.67,3.39,3.13,4.69,3.59
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",3.7,4.21,3.34,3.26,4.19,3.55
21-1013.00,Marriage and Family Therapists,3.82,4.45,3.51,3.15,4.73,3.71
21-1015.00,Rehabilitation Counselors,3.56,4.49,3.22,2.81,4.25,3.5
21-1021.00,"Child, Family, and School Social Workers",3.79,4.19,3.42,2.85,4.22,3.58
21-1023.00,Mental Health and Substance Abuse Social Workers,3.68,4.37,3.54,3.14,4.59,3.7
21-1091.00,Health Education Specialists,3.54,4.49,3.1,3.35,4.14,3.14
21-1092.00,Probation Officers and Correctional Treatment Specialists,3.4,4.38,3.33,2.46,4.54,3.23
21-1093.00,Social and Human Service Assistants,3.6,4.39,3.1,2.65,4.38,3.4
21-1094.00,Community Health Workers,3.65,4.38,3.13,3.07,4.27,3.5
21-2011.00,Clergy,3.89,4.54,3.36,3.23,4.46,3.7
21-2021.00,"Directors, Religious Activities and Education",3.64,4.46,3.17,3.29,4.54,3.38
23-1011.00,Lawyers,3.72,4.66,3.65,3.01,4.36,3.39
23-1012.00,Judicial Law Clerks,3.14,4.5,3.34,2.96,3.56,2.65
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",3.53,4.49,3.67,2.94,4.64,3.06
23-1023.00,"Judges, Magistrate Judges, and Magistrates",3.73,4.76,3.95,3.03,4.9,3.09
23-2011.00,Paralegals and Legal Assistants,3.17,4.56,2.74,2.27,4.18,2.74
23-2093.00,"Title Examiners, Abstractors, and Searchers",3.06,4.16,2.82,2.28,3.82,2.53
25-1011.00,"Business Teachers, Postsecondary",3.48,4.58,3.25,3.6,4.23,2.85
25-1021.00,"Computer Science Teachers, Postsecondary",3.49,4.51,3.3,3.46,4.06,3.02
25-1022.00,"Mathematical Science Teachers, Postsecondary",3.36,4.32,3.22,3.4,3.93,2.7
25-1031.00,"Architecture Teachers, Postsecondary",3.57,4.45,3.4,3.59,4.3,2.97
25-1032.00,"Engineering Teachers, Postsecondary",3.49,4.49,3.24,3.43,4.1,2.82
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",3.72,4.45,3.38,3.66,4.32,2.85
25-1042.00,"Biological Science Teachers, Postsecondary",3.39,4.54,3.29,3.62,4.15,2.89
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",3.46,4.65,3.33,3.52,4.64,2.91
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",3.49,4.33,3.42,3.46,4.08,2.84
25-1052.00,"Chemistry Teachers, Postsecondary",3.33,4.46,3.43,3.43,3.92,2.89
25-1053.00,"Environmental Science Teachers, Postsecondary",3.43,4.43,3.32,3.49,3.99,2.84
25-1054.00,"Physics Teachers, Postsecondary",3.47,4.29,3.44,3.56,3.88,2.79
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",3.47,4.45,3.15,3.43,4.21,2.93
25-1063.00,"Economics Teachers, Postsecondary",3.24,4.21,3.23,3.36,3.68,2.55
25-1064.00,"Geography Teachers, Postsecondary",3.35,4.5,3.22,3.37,3.75,2.75
25-1065.00,"Political Science Teachers, Postsecondary",3.43,4.33,3.14,3.4,4.22,2.91
25-1066.00,"Psychology Teachers, Postsecondary",3.62,4.71,3.3,3.75,4.44,3.02
25-1067.00,"Sociology Teachers, Postsecondary",3.42,4.52,3.18,3.56,4.38,2.91
25-1071.00,"Health Specialties Teachers, Postsecondary",3.59,4.39,3.27,3.45,4.14,2.89
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",3.76,4.69,3.36,3.47,4.43,3.16
25-1081.00,"Education Teachers, Postsecondary",3.54,4.39,3.35,3.59,3.86,2.8
25-1082.00,"Library Science Teachers, Postsecondary",3.52,4.33,3.28,3.56,4.08,2.87
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",3.59,4.42,3.22,3.43,4.41,2.86
25-1112.00,"Law Teachers, Postsecondary",3.57,4.58,3.42,3.71,4.12,2.85
25-1113.00,"Social Work Teachers, Postsecondary",3.7,4.56,3.36,3.81,4.5,3.1
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",3.58,4.4,3.04,3.55,4.26,2.9
25-1122.00,"Communications Teachers, Postsecondary",3.49,4.61,3.18,3.56,4.4,2.96
25-1123.00,"English Language and Literature Teachers, Postsecondary",3.57,4.42,3.16,3.58,4.32,2.95
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",3.44,4.29,3.05,3.4,4.48,2.76
25-1125.00,"History Teachers, Postsecondary",3.5,4.43,3.16,3.47,4.21,2.94
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",3.45,4.41,3.26,3.51,3.85,2.79
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",3.52,4.49,3.04,3.4,4.33,2.78
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",3.46,4.51,3.12,3.27,4.36,2.9
25-1194.00,"Career/Technical Education Teachers, Postsecondary",3.41,4.56,2.98,3.4,4.37,2.87
25-2011.00,"Preschool Teachers, Except Special Education",3.44,4.39,2.84,3.0,4.61,3.12
25-2012.00,"Kindergarten Teachers, Except Special Education",3.56,4.71,2.99,3.06,4.56,3.3
25-2021.00,"Elementary School Teachers, Except Special Education",3.66,4.76,3.23,3.5,4.6,3.32
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",3.67,4.48,3.13,3.46,4.66,3.14
25-2023.00,"Career/Technical Education Teachers, Middle School",3.51,4.46,3.16,3.21,4.43,3.08
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",3.55,4.41,3.22,3.39,4.65,3.12
25-2032.00,"Career/Technical Education Teachers, Secondary School",3.62,4.32,3.37,3.45,4.54,3.26
25-2051.00,"Special Education Teachers, Preschool",3.62,4.57,3.28,3.23,4.64,3.28
25-2056.00,"Special Education Teachers, Elementary School",3.64,4.88,3.32,3.38,4.83,3.31
25-2057.00,"Special Education Teachers, Middle School",3.72,4.73,3.25,3.45,4.86,3.33
25-2058.00,"Special Education Teachers, Secondary School",3.67,4.59,3.27,3.42,4.55,3.32
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3.33,4.26,2.92,3.09,4.18,3.02
25-3021.00,Self-Enrichment Teachers,3.22,4.42,2.6,2.81,4.29,2.85
25-3031.00,"Substitute Teachers, Short-Term",3.21,4.32,2.73,2.58,4.46,2.93
25-4012.00,Curators,3.39,4.47,3.33,3.05,3.89,2.89
25-4013.00,Museum Technicians and Conservators,3.12,4.35,2.8,2.56,3.61,2.56
25-4022.00,Librarians and Media Collections Specialists,3.29,4.36,2.74,2.63,4.12,2.88
25-4031.00,Library Technicians,3.0,4.3,2.44,2.5,4.3,2.6
25-9031.00,Instructional Coordinators,3.66,4.45,3.38,3.62,4.12,3.3
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",3.3,4.1,2.79,2.76,4.33,3.1
25-9043.00,"Teaching Assistants, Special Education",3.34,4.25,2.75,2.79,4.54,3.1
25-9044.00,"Teaching Assistants, Postsecondary",3.17,4.27,2.76,2.78,4.13,2.71
27-1011.00,Art Directors,3.53,4.42,3.21,2.86,4.16,3.02
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",2.69,4.54,2.59,2.44,4.15,2.44
27-1014.00,Special Effects Artists and Animators,3.2,4.21,2.98,2.64,3.94,2.69
27-1021.00,Commercial and Industrial Designers,3.21,4.21,3.27,2.67,3.39,2.81
27-1022.00,Fashion Designers,3.43,4.03,3.06,2.85,3.7,3.19
27-1023.00,Floral Designers,3.12,4.13,2.54,2.21,3.63,2.83
27-1026.00,Merchandise Displayers and Window Trimmers,2.98,4.18,2.65,2.21,3.89,2.72
27-2011.00,Actors,3.49,4.4,2.53,2.26,4.58,2.77
27-2012.00,Producers and Directors,3.78,4.56,3.31,2.84,4.25,3.08
27-2012.03,Media Programming Directors,3.6,4.37,3.36,2.97,3.96,3.08
27-2012.04,Talent Directors,3.52,4.5,3.07,2.46,4.17,3.02
27-2012.05,Media Technical Directors/Managers,3.6,3.97,3.3,2.93,4.41,3.0
27-2021.00,Athletes and Sports Competitors,3.31,4.33,2.82,2.54,4.5,2.71
27-2022.00,Coaches and Scouts,3.66,4.32,3.34,3.43,4.26,3.5
27-2031.00,Dancers,3.06,4.15,2.28,2.32,4.15,2.62
27-2041.00,Music Directors and Composers,3.35,4.56,2.93,2.67,4.05,2.85
27-2042.00,Musicians and Singers,3.07,4.2,2.38,2.28,4.12,2.64
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,3.51,4.52,2.83,2.22,4.25,2.99
27-3041.00,Editors,3.34,4.33,3.0,2.73,4.08,2.85
27-3042.00,Technical Writers,3.13,4.4,2.91,2.49,3.83,2.43
27-3043.00,Writers and Authors,3.31,4.44,2.82,2.63,4.24,3.05
27-3091.00,Interpreters and Translators,3.41,4.38,2.82,2.62,4.14,2.83
27-3092.00,Court Reporters and Simultaneous Captioners,2.89,4.78,2.21,1.86,4.69,2.05
27-4011.00,Audio and Video Technicians,2.96,4.22,2.96,2.51,4.14,2.75
27-4012.00,Broadcast Technicians,2.97,4.02,2.92,2.59,3.87,2.46
27-4031.00,"Camera Operators, Television, Video, and Film",3.06,4.36,2.77,2.46,3.79,2.75
27-4032.00,Film and Video Editors,3.24,4.79,2.86,2.54,4.86,2.71
29-1011.00,Chiropractors,3.45,4.45,3.47,2.81,4.6,3.15
29-1021.00,"Dentists, General",3.48,4.4,3.76,3.22,4.24,3.37
29-1022.00,Oral and Maxillofacial Surgeons,3.52,4.84,3.74,3.1,4.75,3.15
29-1023.00,Orthodontists,3.63,4.7,3.51,3.09,4.5,3.18
29-1024.00,Prosthodontists,3.36,4.64,3.42,2.59,4.26,2.9
29-1051.00,Pharmacists,3.56,4.48,3.42,3.02,4.5,3.12
29-1071.01,Anesthesiologist Assistants,3.42,4.75,3.22,2.82,4.8,2.91
29-1081.00,Podiatrists,3.52,4.71,3.71,3.31,4.52,3.1
29-1123.00,Physical Therapists,3.64,4.49,3.3,2.7,4.51,3.34
29-1124.00,Radiation Therapists,3.33,4.54,2.99,2.54,4.38,2.93
29-1126.00,Respiratory Therapists,3.47,4.62,3.25,2.87,4.72,3.14
29-1127.00,Speech-Language Pathologists,3.65,4.59,3.48,3.46,4.64,3.33
29-1131.00,Veterinarians,3.56,4.64,3.57,3.07,4.55,3.01
29-1141.00,Registered Nurses,3.69,4.41,3.5,3.07,4.31,3.34
29-1211.00,Anesthesiologists,3.45,4.65,3.9,3.06,4.42,3.16
29-1213.00,Dermatologists,3.54,4.67,3.68,2.99,4.49,3.38
29-1215.00,Family Medicine Physicians,3.65,4.81,3.84,3.11,4.46,3.34
29-1216.00,General Internal Medicine Physicians,3.49,4.54,3.84,3.11,4.34,3.36
29-1217.00,Neurologists,3.75,4.64,3.98,3.37,4.6,3.43
29-1218.00,Obstetricians and Gynecologists,3.7,4.68,4.01,3.33,4.63,3.16
29-1221.00,"Pediatricians, General",3.64,4.6,3.81,3.13,4.49,3.28
29-1222.00,"Physicians, Pathologists",3.39,4.67,3.99,3.3,4.31,2.86
29-1223.00,Psychiatrists,3.84,4.46,3.69,3.43,4.49,3.68
29-1224.00,Radiologists,3.54,4.53,3.85,3.23,4.07,3.13
29-1229.01,Allergists and Immunologists,3.53,4.66,3.76,3.4,4.62,3.32
29-1229.03,Urologists,3.65,4.92,3.86,3.05,4.71,3.26
29-1229.04,Physical Medicine and Rehabilitation Physicians,3.75,4.74,3.69,3.16,4.64,3.43
29-1229.06,Sports Medicine Physicians,3.69,4.64,3.76,3.35,4.06,3.45
29-1241.00,"Ophthalmologists, Except Pediatric",3.67,4.68,3.86,3.3,4.54,3.42
29-1292.00,Dental Hygienists,3.29,4.49,2.8,2.51,4.53,2.88
29-2011.00,Medical and Clinical Laboratory Technologists,3.12,4.48,3.43,2.77,4.12,2.76
29-2012.00,Medical and Clinical Laboratory Technicians,3.05,4.52,2.81,2.58,4.17,2.64
29-2031.00,Cardiovascular Technologists and Technicians,3.34,4.35,3.16,2.64,4.43,2.87
29-2032.00,Diagnostic Medical Sonographers,3.42,4.63,2.94,2.69,4.57,2.98
29-2033.00,Nuclear Medicine Technologists,3.37,4.37,3.04,2.56,4.29,2.9
29-2034.00,Radiologic Technologists and Technicians,3.25,4.38,2.89,2.39,4.48,2.83
29-2051.00,Dietetic Technicians,3.19,4.55,2.78,2.67,4.63,2.96
29-2052.00,Pharmacy Technicians,3.25,4.37,2.75,2.57,4.33,2.66
29-2053.00,Psychiatric Technicians,3.59,4.45,3.11,2.65,4.76,3.31
29-2055.00,Surgical Technologists,3.15,4.41,2.76,2.59,4.54,2.73
29-2056.00,Veterinary Technologists and Technicians,3.28,4.4,3.2,2.6,4.43,2.83
29-2061.00,Licensed Practical and Licensed Vocational Nurses,3.63,4.4,3.2,2.76,4.47,3.33
29-2092.00,Hearing Aid Specialists,3.25,4.72,2.79,2.62,4.4,3.07
29-2099.08,Patient Representatives,3.67,4.66,2.99,2.66,4.83,3.52
29-9091.00,Athletic Trainers,3.42,4.63,3.34,3.12,4.56,3.2
29-9093.00,Surgical Assistants,3.45,4.56,3.04,2.64,4.65,2.91
29-9099.01,Midwives,3.54,4.71,3.46,2.91,4.75,3.41
31-1121.00,Home Health Aides,3.16,4.32,2.82,2.57,4.48,3.03
31-1122.00,Personal Care Aides,2.99,4.16,2.64,2.39,4.26,3.01
31-1131.00,Nursing Assistants,3.13,4.41,2.6,2.18,4.53,2.91
31-1132.00,Orderlies,2.79,3.82,2.25,1.75,4.25,2.49
31-1133.00,Psychiatric Aides,3.22,3.9,2.94,2.63,4.18,3.15
31-2011.00,Occupational Therapy Assistants,3.45,4.59,2.9,2.79,4.39,3.22
31-2012.00,Occupational Therapy Aides,3.34,4.3,2.77,2.57,4.38,3.13
31-2021.00,Physical Therapist Assistants,3.44,4.41,2.92,2.65,4.49,3.1
31-2022.00,Physical Therapist Aides,3.04,4.32,2.55,2.46,3.96,2.83
31-9091.00,Dental Assistants,3.12,4.41,2.66,2.41,4.49,2.76
31-9092.00,Medical Assistants,3.45,4.58,2.94,2.75,4.36,3.13
31-9093.00,Medical Equipment Preparers,3.03,4.42,2.64,2.44,4.3,2.36
31-9094.00,Medical Transcriptionists,2.84,4.33,2.51,2.14,3.45,2.14
31-9095.00,Pharmacy Aides,3.03,3.96,2.48,2.19,4.25,2.59
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,3.05,4.5,2.63,2.16,4.36,2.6
31-9099.01,Speech-Language Pathology Assistants,3.42,4.66,2.94,2.71,4.58,3.05
33-1011.00,First-Line Supervisors of Correctional Officers,3.64,4.59,3.27,2.73,4.74,3.22
33-1012.00,First-Line Supervisors of Police and Detectives,3.59,4.57,3.4,3.34,4.8,3.42
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,3.39,4.37,3.19,2.77,4.43,3.17
33-1091.00,First-Line Supervisors of Security Workers,3.37,4.61,3.26,2.69,4.74,2.99
33-2011.00,Firefighters,3.35,4.49,3.22,2.73,4.64,3.05
33-2021.00,Fire Inspectors and Investigators,3.27,4.35,3.18,2.64,4.0,2.98
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3.29,4.25,3.18,2.67,4.42,2.78
33-3011.00,Bailiffs,2.99,4.13,2.69,1.95,4.42,2.86
33-3012.00,Correctional Officers and Jailers,3.34,4.13,3.12,2.66,4.32,3.07
33-3021.00,Detectives and Criminal Investigators,3.59,4.6,3.53,2.68,4.63,3.15
33-3021.02,Police Identification and Records Officers,3.2,4.48,3.13,2.51,4.12,2.67
33-3031.00,Fish and Game Wardens,3.22,4.51,3.28,2.63,4.51,3.07
33-3041.00,Parking Enforcement Workers,2.83,4.11,2.52,2.13,4.45,2.66
33-3051.00,Police and Sheriff's Patrol Officers,3.48,4.66,3.36,2.73,4.74,3.33
33-3051.04,Customs and Border Protection Officers,3.36,4.3,3.26,2.57,4.42,3.0
33-3052.00,Transit and Railroad Police,3.32,4.47,3.23,2.65,4.83,2.96
33-9021.00,Private Detectives and Investigators,3.23,4.62,3.35,2.45,4.24,2.89
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,3.13,4.19,3.08,2.48,4.18,2.5
33-9032.00,Security Guards,3.18,4.52,2.67,2.27,4.63,2.76
33-9091.00,Crossing Guards and Flaggers,2.75,4.15,2.36,1.48,4.2,2.36
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2.99,3.84,2.74,2.49,4.15,2.78
33-9099.02,Retail Loss Prevention Specialists,3.17,4.56,3.01,2.56,4.6,2.79
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,3.47,3.9,2.81,2.64,4.17,3.02
35-2011.00,"Cooks, Fast Food",2.57,3.45,2.14,1.79,3.47,2.31
35-2012.00,"Cooks, Institution and Cafeteria",2.91,4.34,2.59,2.41,4.42,2.7
35-2014.00,"Cooks, Restaurant",2.79,4.02,2.33,2.06,4.09,2.22
35-2015.00,"Cooks, Short Order",2.72,4.04,2.27,1.88,3.62,2.42
35-2021.00,Food Preparation Workers,2.5,3.79,1.98,1.69,3.62,2.16
35-3011.00,Bartenders,3.09,4.21,2.57,2.52,4.3,2.9
35-3023.00,Fast Food and Counter Workers,2.49,3.71,1.89,1.62,3.58,2.38
35-3023.01,Baristas,2.94,3.5,2.31,2.08,4.03,2.62
35-3031.00,Waiters and Waitresses,2.98,3.9,2.32,1.88,4.42,2.81
35-3041.00,"Food Servers, Nonrestaurant",2.84,4.22,2.18,1.76,4.48,2.45
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,2.83,4.05,1.99,1.77,4.37,2.33
35-9021.00,Dishwashers,2.4,3.71,1.81,1.51,3.33,1.96
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2.97,3.84,2.26,1.87,4.21,2.68
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,3.18,4.35,2.64,2.55,4.36,2.87
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3.4,4.09,2.84,2.63,4.08,2.95
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2.5,4.01,2.19,1.83,3.58,2.22
37-2012.00,Maids and Housekeeping Cleaners,2.63,4.09,2.06,1.62,4.19,2.44
37-2021.00,Pest Control Workers,2.99,4.07,2.87,2.47,3.83,2.84
37-3011.00,Landscaping and Groundskeeping Workers,2.55,3.92,2.2,1.79,3.8,2.13
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2.83,3.87,2.6,2.06,3.63,2.37
37-3013.00,Tree Trimmers and Pruners,2.83,3.96,2.73,1.95,3.96,2.32
39-1013.00,First-Line Supervisors of Gambling Services Workers,3.31,4.33,3.0,2.46,4.6,3.08
39-1022.00,First-Line Supervisors of Personal Service Workers,3.59,4.74,2.98,2.65,4.85,3.22
